Kategoria,Hangszer_Nev,Oldalcim,URL
Analog,Tiefenrausch,3Lab Tiefenrausch Analog Synthesizer,https://www.sequencer.de/syns/3lab/Tiefenrausch.html
Analog,Bassline,Acidlab Bassline Analog Synthesizer TR sequencer,https://www.sequencer.de/syns/acidlab/Bassline.html
Analog,Bombass,Acidlab Bombass Analog Synthesizer,https://www.sequencer.de/syns/acidlab/Bombass.html
Analog,Bassline2 Basslinemk2,"Acidlab Bassline 2, Bassline Mk 2 Analog Synthesizer TR sequencer",https://www.sequencer.de/syns/acidlab/Bassline2_BasslineMk2.html
Modular,Vostok,Analogue Solutions Vostok Modular Synthesizer analog step sequencer,https://www.sequencer.de/syns/analoguesolutions/Vostok.html
Modular,Phobosredsquare Redsquare2 Redsquaremk2,"Analogue Solutions Phobos Red Square , Red Square 2, Red Square Mk 2 Modular Synthesizer",https://www.sequencer.de/syns/analoguesolutions/PhobosRedSquare_RedSquare2_RedSquareMk2.html
Analog,Semblance,Analogue Solutions Semblance Analog Synthesizer,https://www.sequencer.de/syns/analoguesolutions/Semblance.html
Analog,Leipzigk Leipzigr,"Analogue Solutions Leipzig K, Leipzig R Analog Synthesizer",https://www.sequencer.de/syns/analoguesolutions/LeipzigK_LeipzigR.html
Modular,Telemetry,Analogue Solutions Telemetry Modular Synthesizer,https://www.sequencer.de/syns/analoguesolutions/Telemetry.html
Analog,Leipzigs,Analogue Solutions Leipzig S Analog Synthesizer analog step sequencer,https://www.sequencer.de/syns/analoguesolutions/LeipzigS.html
Modular,Telemark,Analogue Solutions Telemark Analog Synthesizer,https://www.sequencer.de/syns/analoguesolutions/Telemark.html
Analog,Spawn,Analogue Systems Spawn Analog Synthesizer,https://www.sequencer.de/syns/analoguesystems/Spawn.html
Modular,Rsintegrator Sorcerer,"Analogue Systems RSintegrator , Sorcerer Modular Synthesizer analog step sequencer",https://www.sequencer.de/syns/analoguesystems/RSintegrator_Sorcerer.html
Analog,Semtexxl,Anyware Semtex XL Analog Synthesizer,https://www.sequencer.de/syns/anyware/SemtexXL.html
Analog,Simplesizer,Anyware Simplesizer Analog Synthesizer,https://www.sequencer.de/syns/anyware/Simplesizer.html
Modular,Forumodular,Anyware Forumodular Modular Synthesizer,https://www.sequencer.de/syns/anyware/Forumodular.html
Modular,Tinysizer,Anyware Tinysizer Modular Synthesizer,https://www.sequencer.de/syns/anyware/Tinysizer.html
Analog,Moodulator,Anyware Moodulator Analog Synthesizer,https://www.sequencer.de/syns/anyware/Moodulator.html
Modular,Minisizer,Anyware Minisizer Modular Synthesizer,https://www.sequencer.de/syns/anyware/Minisizer.html
Modular,2600,ARP 2600 Modular Synthesizer,https://www.sequencer.de/syns/arp/2600.html
Analog,Odyssey,ARP Odyssey Analog Synthesizer,https://www.sequencer.de/syns/arp/Odyssey.html
Analog,Avatar,ARP Avatar Analog Synthesizer,https://www.sequencer.de/syns/arp/Avatar.html
Analog,Axxe,ARP Axxe Analog Synthesizer,https://www.sequencer.de/syns/arp/Axxe.html
Analog,Solus,ARP Solus Analog Synthesizer,https://www.sequencer.de/syns/arp/Solus.html
Analog,Littlebrother,ARP Little Brother Analog Synthesizer,https://www.sequencer.de/syns/arp/LittleBrother.html
Analog,Prodgx,ARP Pro DGX Analog Synthesizer,https://www.sequencer.de/syns/arp/ProDGX.html
Analog,Explorer1,ARP Explorer 1 Analog Synthesizer,https://www.sequencer.de/syns/arp/Explorer1.html
Modular,Educational Modularsynthesizerlab,"ARP Educational , Modular Synthesizer Lab Modular Synthesizer",https://www.sequencer.de/syns/arp/Educational_ModularSynthesizerLab.html
Analog,Odyssey Korgodyssey,"ARP Odyssey , Korg Odyssey Analog Synthesizer",https://www.sequencer.de/syns/arp/Odyssey_KorgOdyssey.html
Analog,Minibrute,Arturia Mini Brute Analog Synthesizer,https://www.sequencer.de/syns/arturia/MiniBrute.html
Analog,Microbrute,Arturia Microbrute Analog Synthesizer step sequencer,https://www.sequencer.de/syns/arturia/Microbrute.html
